State;votesDem;percD;electoralDem;votesRep;percR;electoralRep;Pop
Alabama;849624;36.57;0;1441170;62.03;9;4779736
Alaska;153778;42.77;0;189951;52.83;3;710231
Arizona;1672143;49.36;11;1661686;49.06;0;6392017
Arkansas;423932;34.78;0;760647;62.40;6;2915918
California;11110250;63.48;55;6006429;34.32;0;37253956
Colorado;1804352;55.40;9;1364607;41.90;0;5029196
Connecticut;1080831;59.26;7;714717;39.19;0;3574097
Delaware;296268;58.74;3;200603;39.77;0;897934
Washington DC;317323;92.15;3;18586;5.40;0;601723
Florida;5297045;47.86;0;5668731;51.22;29;18801310
Georgia;2473633;49.47;16;2461854;49.24;0;9687653
Hawaii;36613;63.73;4;196864;34.27;0;1360301
Idaho;287021;33.07;0;554119;63.84;4;1567582
Illinois;3471915;57.54;20;2446891;40.55;0;12830632
Indiana;1242416;40.96;0;1729519;57.02;11;6483802
Iowa;759061;44.89;0;897672;53.09;6;3046355
Kansas;570323;41.56;0;771406;56.21;6;2853118
Kentucky;772474;36.15;0;1326646;62.09;8;4339367
Louisiana;856034;39.85;0;1255776;58.46;8;4533372
Maine;435072;53.09;2;360737;44.02;0;1328361
Maryland;1985023;65.36;10;976414;32.15;0;5773552
Massachusetts;2382202;65.60;11;1167202;32.14;0;6547629
Michigan;2804040;50.62;16;2649852;47.84;0;9883640
Minnesota;1717077;52.40;10;1484065;45.28;0;5303925
Mississippi;539398;41.06;0;756764;57.60;6;2967297
Missouri;1253014;41.41;0;1718736;56.80;10;5988927
Montana;244786;40.55;0;343602;56.92;3;989415
Nebraska;374583;39.17;0;556846;58.22;2;1826341
Nevada;703486;50.06;6;66989;47.67;0;2700551
New Hampshire;424937;52.71;4;36566;45.36;0;1316470
New Jersey;2608335;57.33;14;1883274;41.40;0;8791894
New Mexico;501614;54.29;5;401894;43.50;0;2059179
New York;5230985;60.86;29;3244798;37.75;0;19378102
North Carolina;2684292;48.59;0;2758775;49.93;15;9535483
North Dakota;114902;31.76;0;235595;65.11;3;672591
Ohio;2679165;45.24;0;3154834;53.27;18;11536504
Oklahoma;50389;32.29;0;1020280;65.37;7;3751351
Oregon;1340383;56.45;7;958448;40.37;0;3831074
Pennsylvania;3458229;50.01;20;3377674;48.84;0;12702379
Rhode Island;307486;59.39;4;199922;38.61;0;1052567
South Carolina;1091541;43.43;0;1385103;55.11;9;4625364
South Dakota;150471;35.61;0;261043;61.77;3;81418
Tennessee;1143711;37.45;0;1852475;60.66;11;6346105
Texas;5259126;46.48;0;5890347;52.06;38;25145561
Utah;560282;37.65;0;86514;58.13;6;2763885
Vermont;24282;66.09;3;112704;30.67;0;625741
Virginia;2413568;54.11;13;1962430;44.00;0;8001024
Washington;2369612;57.97;12;1584651;38.77;0;6724540
West Virginia;235984;29.69;0;545382;68.62;5;1852994
Wisconsin;1630866;49.45;10;1610184;48.82;0;5686986
Wyoming;73491;26.55;0;193559;69.94;3;563626
